Name,Dirección,Ciudad,Provincia,LATITUD,LONGITUD
NTI 2017 - ADMA (Sucesión GNC DON PEDRO SRL),ACCESO ESTE Y JUAN ISIDRO MAZA LATERAL SUR,FRAY LUIS BELTRAN,Mendoza,-32.9901110,-68.6675030
NTI 2019 - COCOMAZZI,PROVINCIAS UNIDAS 2902,ROSARIO,Santa Fe,-32.9631600,-60.7119260
ALVAREZ NEUMATICOS,SARMIENTO Y R. CARRILLO,BAHIA BLANCA,Buenos Aires,-38.6855560,-62.2291670
NTI 2019 - CORS ARROYO SECO,RUTA NACIONAL 9 KM 272,ARROYO SECO,Santa Fe,-33.1341000,-60.5720000
NTI 2019 - CORS LIMA,RUTA NACIONAL 9 KM 92,ZARATE - GBA,Buenos Aires,-34.1105000,-59.1237000
NTI 2019 - PETRO ITATÍ SA (ITATI),RUTA NACIONAL 12 Y ACCESO ITATI,ITATI,Corrientes,-27.3500320,-58.2346600
NTI 2019 - PETRO ITATÍ SA (PASO DE LA PATRIA),25 DE MAYO 681,PASO DE LA PATRIA,Corrientes,-27.3161900,-58.5772620
NTI 2019 - MONTEDUAL,AVENIDA V. FAIR 1021,MONTE GRANDE - GBA,Buenos Aires,-34.8099270,-58.4918470
NTI 2020 - BERRIA ENERGIA,AV. CIRCUNVALACION Y CALLE 440,GENERAL PICO,La Pampa,-35.6426430,-63.7486510
NTI 2019 - ELI MORENO,BELISARIO ROLDAN Y MARTIN GUEMES,MORENO - GBA,Buenos Aires,-34.6340571,-58.8114738
NTI 2020 - LIDA SAS,9 DE JULIO 2170,TUCUMAN,Tucumán,-26.8601810,-65.2114310
NTI 2020 - PILMAYQUEN,PILMAYQUEN 30,BAHIA BLANCA,Buenos Aires,-38.6912006,-62.2337705
NTI 2022 - CORS BUEN AYRE,CAMINO BUEN AYRE KM 19,VILLA UDAONDO - ITUZAINGÓ,Buenos Aires,-34.6045460,-58.7088335
NTI 2020 - PIONEROS,AV. DE LOS PIONEROS Y AV. BOOCK,BARILOCHE,Rio Negro,-41.1322450,-71.3570240
NTI 2021 - EL PRADO SA,RUTA 51 KM 2,SALTA,Salta,-24.8416700,-65.4917100
COOP AGROPECUARIA DE MALABRIGO,SARMIENTO 1215,MALABRIGO,Santa Fe,-29.3511391,-59.9698734
NTI 2020 - PALOMAR,PAULA ALBARRACIN DE SARMIENTO 555 NORTE,SAN JUAN,San Juan,-31.5244000,-68.5553000
FS 2022 - TRANSFUEL OIL SRL,Ruta 1 KM 5.5,SAN JOSE DEL RINCON,SANTA FE,-31.6080000,-60.5798000
NTI 2021 - POZZO ARDIZZI SA,RUTA 3 KM 966,VIEDMA,Rio Negro,-41,-63
NTI 2020 - PETROPRINGLES,RUTA 51 Y 85 - KM 108,CORONEL PRINGLES,Buenos Aires,-38.0262000,-61.3830000
NTI 2020 - SIMBOLO,SARMIENTO 200,VILLA DOLORES,Córdoba,-31.9468870,-65.1902290
NTI 2021 - TASCO SRL,RN 34 Y URQUIZA,TARTAGAL,Salta,-22.5368000,-63.7975000
NTI 2020 - ÁNGEL DE DIOS,AV. NESTOR KIRCHNER Y PERITO MORENO,RÍO GALLEGOS,Santa Cruz,-52,-69
NTI 2021 - G-ENERGY SRL,INDEPENDENCIA (S) 3478,SANTIAGO DEL ESTERO,Santiago del Estero,-27.8225850,-64.2352940
NTI 2022 - METEÑA HNOS SA,AV GENERAL SAVIO 2801,RIO TERCERO,Córdoba,-32.1695792,-64.1594267
FS 2021 - ELI LAFERRERE,Ruta 3 y Da Vinci,LAFERRERE - GBA,Buenos Aires,-34.7491667,-58.6111111
NTI 2021 - Rio Grande (OASIS SRL),MIRKO MILOSEVIC 38,RIO GRANDE,Tierra del Fuego,-53.8093562,-67.6851182
NTI 2021 - KEOPS SA,AV. LAPRIDA Y DIAG. EVA PERON,BARRANQUERAS,Chaco,-27.4827200,-58.9368900
FS 2021 - DORNELL SA,Av. Rolon 2701,BOULOGNE - GBA,Buenos Aires,-34.5155556,-58.5683333
FS 2022 - ELI GNECCO,INTENDENTE GNECCO 1258,PASO DEL REY - GBA,Buenos Aires,-34.6318000,-58.7404000
FS 2022 - COMBUSTIBLES DEL OESTE SRL,LAMBARE 1103 ESQUINA JP BERGAMINI,HAEDO - GBA,Buenos Aires,-34.6317350,-58.5808561
NTI 2022 - BOSQUES GAS SA,RUTA PROVINCIAL 36 Y AV. BOSQUES,BOSQUES,Buenos Aires,-34.8113600,-58.2301500
NTI 2022 - EXFACO CAMINO DE LA RIBERA,Av. De la rivera 2902,ITUZAINGO - GBA,Buenos Aires,-34.6330601,-58.7264294
NTI 2022 - CRISMI COMBUSTIBLES SRL,Mariano Moreno y esq. Pueyrredón,R. Saenz Peña,Chaco,-26.7806760,-60.4384710
FS 2022 - COMBUSTIBLE SAN MARTIN SRL,AV PTE PERON Y RODRIGUEZ PEÑA,VILLA LYNCH,Buenos Aires,-34.5788092,-58.5515522
FS 2022 - PERESSIN HNO SRL,ALMIRANTE BROWN 899,SAN SALVADOR DE JUJUY,Jujuy,-24.1991169,-65.2866393
NTI 2022 - BRACIA SA,RUTA N°12 KM 1541,ELDORADO,Misiones,-26.4195116,-54.6436521
NTI 2023 - Servicios Gral Guemes (Pinto),RN 34 KM 495,PINTO,Santiago del Estero,-29.1473792,-62.6472986
NTI 2023 - Los Quimbaletes E53,RUTA E53 Y AMADEO SABATTINI,RIO CEBALLOS,Córdoba,-31.2168134,-64.2757324
NTI 2023 - Combustibles Riojanos,AV ORTIZ DE OCAMPO Y CERRO AZUL,LA RIOJA,La Rioja,-29.4519263,-66.8601621
FS 2023 - October SA,AV WARNES 2040,CABA,Buenos Aires,-34.5968040,-58.4641780
FS 2023 - Octano SRL,AV PARAGUAY 1900,SALTA,Salta,-24.8130600,-65.4236500
NTI 2023 - Puebla San Juan,RN 20 y Acceso Aeropuerto San Juan,SAN JUAN,San Juan,-31.58158461,-68.42726641
NTI 2023 - Sinergy S.A,Av. Sarmiento 1510,RESISTENCIA,Chaco,-27.43911617,-58.97278742
NTI 2023 - Olavarria,RP 51 y Acceso Sur de la Ciudad de Olavarría,OLAVARRIA,Buenos Aires,-36.955117,-60.254556
FS 2023 - SEFAC Pehuajo,"RN 5 km 368,5 y Ruta 226",PEHUAJO,Buenos Aires,-35.84771,-61.90913
FS 2023 - Combustibles de Pinamar,"Ruta 2 Km. 51,5",LA PLATA,Buenos Aires,-34.98903,-58.14128
NTI 2023 - Domselaar,San Martin y RP 210,DOMSELAAR,Buenos Aires,-35.07485,-58.29365
FS 2023 - La Constructora,Santa Fe 402,SALTA,Salta,-24.79548,-65.40486
FS 2024 - Suarez Juan Jose,Ruta 226 y Ruta 55,BALCARCE,Buenos Aires,-37.818854,-58.220747
CORS ALEM,AV. LEANDRO N. ALEM 1180,CAPITAL FED ZONA ,Capital Federal,-34.5941000,-58.3738690
FS 2024 - Alejandro Tieppo,PTE. JUAN DOMINGO PERON 3115,LOS POLVORINES,Buenos Aires,-34.50131073,-58.69148657
NTI 2024 - Jorge Travani y Cía SRL,RP24 y Corrientes,Gral. Rodriguez,Buenos Aires,-34.636044,-58.945695
NTI 2024 - Land Oil Plottier,Av. Gral. Roca y  Candolle,Plottier,Neuquen,-38.9433680,-68.2379500
FS 2024 - Yapai,RUTA PROV 1 Y ACCESO FORTIN ALSINA,Intendente Alvear,La Pampa,-35.2332900,-63.6067400
FS 2024 - La Comercial Gas,AV. MARCONI 650 ,RIO CUARTO,Córdoba,-33.1170500,-64.3518700
NTI 2024 - ECONOMIC FUEL SRL,AUTOVIA RN 18 KM 207,SAN SALVADOR,Entre Rios,-31.6074800,-58.5254500
NTI 2024 - SANTA CRUZ ENERGY,Av. Asturias y Circunvalación,RIO GALLEGOS,Santa Cruz,-51.6434002,-69.3006544
FS 2024 - La Cuesta,"Av Ejército Argentino Km. 8,5 RP E 55",LA CALERA,Córdoba,"-31,35713 ","-64,31756 "
NTI 2024 - MAIPU MILENIA,Av. Maipú 3601 ,Corrientes,Corrientes,"-27,507489 ","-58,810320 "
NTI 2024 – PICO DE CHACO SRL,"RUTA NAC. 16 km 27,1",Puerto Tirol,Chaco,"-27,358626 ","-59,064031 "
FS 2025 - Oriente,JUAN BAUTISTA ALBERDI Nº 218,Oriente,Buenos Aires,-38.7412290,-60.6089220
FS 2025 - POTENXA SRL,Monseñor Bufano 2108,SAN JUSTO - GBA,Buenos Aires,-34.6800491,-58.5811247
NTI 2025 - VISION LA BANDA,Av. Belgrano 2450,LA BANDA,Santiago del Estero,-27.7498409,-64.2651683
