Name,Dirección,Ciudad,Provincia,LATITUD,LONGITUD
SCHULZ ORLANDO Y HERALDO SOCIEDAD,RUTA 90 Y ACCESO,GRAL SAN MARTIN,Chaco,-26.5425570,-59.3289020
SCHULZ ORLANDO Y HERALDO SOCIEDAD,RUTA PROV. 3 Y C.   LARRALDE,EL COLORADO,Formosa,-26.2978935,-59.3670845
SECORVEP SA,DR. RAMON Y ALTE. BROWN,NEUQUEN,Neuquen,-38.9422035,-68.0627060
SERVI JOSE CARASA SOC DE HECHO DE,AV. SAN MARTIN 3502 ESQ. SAAVEDRA,ROSARIO,Santa Fe,-32.9784550,-60.6444170
SERVICIOS PADUA SA,RIVADAVIA 24498,S ANTONIO DE PADUA - GBA,Buenos Aires,-34.6673783,-58.7094633
SERVICIOS PADUA SA (Merlo),RUTA 200 Y MENDOZA,MERLO  - GBA,Buenos Aires,-34.6653901,-58.7356654
SERVI BROWN SA,PRIMERA JUNTA 257,QUILMES - GBA,Buenos Aires,-34.7319667,-58.2482333
ERNESTO VESCIA,AV. CÁRCANO 1048 (Y SANTIAGO DEL ESTERO),VILLA CARLOS PAZ,Córdoba,-31.4381944,-64.5012111
ERNESTO VESCIA,AV. SAN MARTIN 1010,VILLA CARLOS PAZ,Córdoba,-31.4144500,-64.4883500
SERVICENTROS OBERA SA,SARMIENTO 1281,OBERA,Misiones,-27.4874830,-55.1252720
LOS CERRITOS SA,AV. 9 DE JULIO Y    RUTA 12,JARDIN DE AMERICA,Misiones,-27.0373420,-55.2273890
SERVICENTROS OBERA SA,RUTA NAC. 14 KM. 1120,OBERA,Misiones,-27.5018190,-55.1119110
7 DE AGOSTO SRL,RUTA 22 Y ACCESO A  BILO,ALLEN,Rio Negro,-39.0103917,-67.8365167
SILVESTRE ALBERTO JOSE Y RUBEN RAUL,DR BORSOTTI 285,CERRITO,Entre Rios,-31.5852780,-60.0725000
CORS VILLA ALLENDE - 192623,AV GOYCOCHEA 1235,VILLA ALLENDE,Córdoba,-31.2998280,-64.2875920
COMBUSTIBLES DEL LITORAL,RUTA NAC. 14 KM. 681,SANTO TOME,Corrientes,-28.5809040,-56.0853700
LOMA PORA,RUTA NAC. 14 KM. 686,SANTO TOME,Corrientes,-28.5491320,-56.0775770
SRUR SRL,SANTOS VEGA Y PALMA,VILLA BOSCH - GBA,Buenos Aires,-34.5833781,-58.5807323
SERVICENTRO SAN CRISTOBAL,AVDA CAMPOS 102,LOBERIA,Buenos Aires,-38.1622640,-58.7819340
SUCESORES DE JOSE ERCOLE GRASSO,RUTA NAC 158 ESQ.   DIAGONAL ESTE P,POZO DEL MOLLE,Córdoba,-32.0161270,-62.9155580
SUMAJ SRL,RUTA NAC. 157 Y     GUEMES,RECREO,Catamarca,-29.2725754,-65.0558281
LINFIS,AV. GRAL. SAVIO 665,SAN NICOLAS,Buenos Aires,-33.3471120,-60.2071970
TOMAS HNOS Y CIA SA,RUTA 5 KM 309,CARLOS CASARES,Buenos Aires,-35.6418364,-61.3664922
EXFACO TESEI,AV. PTE PERON 4531 ESQ. G DONAK 8,HURLINGHAM - GBA,Buenos Aires,-34.6321058,-58.6259384
JORGE TRAVANI Y CIA,BDO DE IRIGOYEN 1190,GENERAL RODRIGUEZ - GBA,Buenos Aires,-34.6096670,-58.9472800
JYF SRL,BELGRANO Y TUCUMAN,CATAMARCA,Catamarca,-28.4604263,-65.7751465
CORS TRELLES   ,AV. GAONA 2399 Y TRELLES,CAPITAL FEDERAL,Capital Federal,-34.6141520,-58.4605830
PARQUE CONSTITUCIÓN,CONSTITUCION 4703,MAR DEL PLATA,Buenos Aires,-37.9668190,-57.5506280
CORS CABILDO - 158594,CABILDO 695 ESQ. OLLEROS,CAPITAL FED ZONA 4,Capital Federal,-34.5703100,-58.4437280
BERRIA ENERGIA (AZUL),"RUTA NACIONAL 3, KM. 298",AZUL,Buenos Aires,-36.7769432,-59.8234177
CORS PELLIZA - 158600,M. PELLIZA Y ROSSETI 3685,OLIVOS - GBA,Buenos Aires,-34.5174571,-58.5130820
SAN JOAQUIN - CASANOVA,AV. PCIAS. UNIDAS Y QUESADAS RUTA 3,ISIDRO CASANOVA - GBA,Buenos Aires,-34.7017479,-58.5801315
SERVICENTRO PILAR SRL,SAN MARTIN Y SAN JUAN ,PILAR,Santa Fe,-31.4315033,-61.2575054
VENTURA ANTONIO - Gral Roca,TUCUMAN Y AV. SAN   JUAN  GRAL. ROC,GRAL ROCA,Rio Negro,-39.0270615,-67.5868893
CORS EL CLUB - 158619,AV. LIBERTADOR 299,VICENTE LOPEZ - GBA,Buenos Aires,-34.5321705,-58.4684317
CORS GARAY - 158621,AV. J. DE GARAY 1302,CAPITAL FED ZONA 1,Capital Federal,-34.6272070,-58.3846210
CORS ANCHORENA - 158623,AV. RIVADAVIA 3199 ESQ. ANCHORENA,CAPITAL FED ZONA 2,Capital Federal,-34.6102890,-58.4115220
CORS DEL TEJAR - 158625,MONROE 3078,CAPITAL FED ZONA 5,Capital Federal,-34.5621070,-58.4659950
CORS FLORESTA - 158629,AV. RIVADAVIA Y JOAQUIN V. GONZ,CAPITAL FED ZONA 7,Capital Federal,-34.6329570,-58.4792520
CORS QUILMES - 158633,PERON 250,QUILMES - GBA,Buenos Aires,-34.7277545,-58.2614521
CORS DIALOGOS - 158636,MITRE 852,CAMPANA - GBA,Buenos Aires,-34.1632595,-58.9606719
CORS MAIPU - 158646,AV. MAIPU Y F. BARDIVICENTE LOPEZ,VICENTE LOPEZ - GBA,Buenos Aires,-34.5280861,-58.4811250
CORS LA BANDERA,SAN MARTIN 1983,ROSARIO,Santa Fe,-32.9608730,-60.6400060
CORS ALSINA - 158652,AV.JUJUY Y ALSINA,CAPITAL FED ZONA 4,Capital Federal,-34.6121840,-58.4054000
CORS PARQUE SARMIENTO - 158654,AV. TRIUNVIRATO Y CRISOLOGO LARRA,CAPITAL FED ZONA 5,Capital Federal,-34.5638260,-58.4966750
CORS SAN ISIDRO - 158656,AV. ROLON Y BLANCO ENCALADA,BOULOGNE - GBA,Buenos Aires,-34.4943380,-58.5514670
CORS SANTA FE - 158676,RUTA 168 KM 476,SANTA FE,Santa Fe,-31.6413689,-60.6590939
CORS VILLA LURO - 158678,J.B. JUSTO Y L. DE  VEGA,CAPITAL FED ZONA 7,Capital Federal,-34.6321440,-58.5015010
CORS LUIS VIALE - 158680,AV. SAN MARTIN Y LUIS VIALE,CAPITAL FED ZONA 1,Capital Federal,-34.6062090,-58.4508310
CORS AMANECER - 158690,AV F BEIRO Y MOLIERE,CAPITAL FED ZONA 1,Capital Federal,-34.6157560,-58.5278240
CORS FISHERTON - 158694,AV. EVA PERON 8159 ,ROSARIO,Santa Fe,-32.9286667,-60.7383639
PLAZA ITALIA  COMBUSTIBLES DE PINAMAR,DIAGONAL 77 - 673,LA PLATA,Buenos Aires,-34.9108330,-57.9563890
CORS CONGRESO - 158698,AV CONGRESO 4801,CAPITAL FED ZONA 5,Capital Federal,-34.5677390,-58.4869590
ByF S.R.L - Limay (EX CODO VENCUBE),RUTA 22 Y SATURNINO TORRES,NEUQUEN,Neuquen,-38.9600945,-68.0397892
VICCEL SRL,CNO. GRAL. BELGRANO Y AV. ARANA,VILLA ELISA,Buenos Aires,-34.8692835,-58.0970943
CORS SANTA RITA - 158707,AV. ROLON 603,BOULOGNE - GBA,Buenos Aires,-34.4973850,-58.5556100
CORS ALBERDI - 158709,AV. LA PLATA 575,CAPITAL FED ZONA 1,Capital Federal,-34.6219400,-58.4280750
CORS AMERICA - 158711,AV. GRAL MOSCONI 2500,CAPITAL FED ZONA 5,Capital Federal,-34.5835150,-58.4973000
EL UNICO ,JUAN B.JUSTO Y M.DE HOZ,MAR DEL PLATA,Buenos Aires,-38.0407906,-57.5426102
CORS GRAL PAZ CAP - 158715,AV. GRAL PAZ KM. 15,CAPITAL FED ZONA 7,Capital Federal,-34.6457909,-58.5289452
CORS GRAL PAZ PCIA - 158717,AV. GRAL PAZ KM. 15 CIUDADELA,CAPITAL FED ZONA 7,Capital Federal,-34.6454294,-58.5294627
JISA S.A. - Libertad Resistencia,RUTA NACIONAL 16 - KM 14.5,RESISTENCIA,Chaco,-27.4129295,-58.9703178
CORS EL BOULEVARD - 158722,BVD.AVELLANEDA 1698,ROSARIO,Santa Fe,-32.9497200,-60.6821200
CORS ALVEAR - 158724,AV. LIBERTADOR 2589,CAPITAL FED ZONA 3,Capital Federal,-34.5786070,-58.4063620
DT3 COMBUSTIBLES - FREYRE,AV. FREYRE 2300,SANTA FE,Santa Fe,-31.6461754,-60.7182026
CORS OVIDIO LAGOS - 158730,CORDOBA 2790,ROSARIO,Santa Fe,-32.9420950,-60.6611960
